SMILES,uniprot_id1,uniprot_id2,scores,5AAN,id,qeppi,sas,tox,bbbp,model,docking 5AAN,docking 6QI4,6QI4
C[C@@H](c1cc2c(cc1-c1ccc(C(N)=S)cc1C(N)=O)OCCO2)[C@@H]([NH3+])C=O,P62166,Q9NPQ8,0.1872787965477703,-7.93693,231_ric8_virtual_library,0.6804755125164915,3.930909301946831,0.0,1,Freed2,-6.2,-6.5,-6.97839
COCc1ccc(-c2cc3c(cc2[C@H](C)[C@@H]([NH3+])C=O)OCCO3)cc1S(C)(=O)=O,P62166,Q9NPQ8,0.1679587886228321,-7.88486,308_ric8_virtual_library,0.7591254650152681,3.9213097357484505,0.0,1,Freed2,-6.3,-6.1,-5.88402
C[C@H](c1ccc(-c2cccc(O)c2)c(-c2occc2Br)c1)[C@@H]([NH3+])C(=O)NC(N)=O,P62166,Q9NPQ8,0.0198580530800546,-7.85918,536_ric8_virtual_library,0.5915629586790558,3.8465405049792194,0.0,1,Freed2,-8.2,-8.6,-6.27624
CC[C@H]([NH3+])C(=O)/C=C\c1ccc(C(C)=O)c(-c2ccc3c(c2)OCCO3)c1,P62166,Q9NPQ8,0.136935683028052,-7.82337,388_ric8_virtual_library,0.7993738731582614,3.352226806036734,0.0,1,Freed2,-7.3,-6.8,-6.27323
C[C@H](NC(=O)Cl)C(=O)NC(=O)C(=O)N[C@@H](C)Cc1ccc(Cl)cc1Br,P62166,Q9NPQ8,0.1464803897922345,-7.81869,192_ric8_virtual_library,0.51952922029679,3.433546400054217,0.0,1,Taiga,-7.4,-7.0,-7.0349
CC[C@H]([NH3+])C(=O)c1cc2c(cc1-c1ccc(S(C)(=O)=O)c(-c3occc3Br)c1)OCCO2,P62166,Q9NPQ8,0.1016310274235428,-7.76959,182_ric8_virtual_library,0.8631093595143123,3.745638019884008,0.0,1,Freed2,-7.2,-7.1,-7.3553
CC(=O)N[C@H](C)c1cccc(-c2ccc3cc(CCC(=O)N[C@@H](C(=O)[O-])C(C)C)c(=O)oc3c2)c1,P62166,Q9NPQ8,0.000654910077069,-7.74234,188_ric8_virtual_library,0.7126081066955009,3.4959795500934767,0.0,1,Hgraph,-8.9,-9.1,-8.12484
CC[C@@H](N)C(=O)C(=O)C[C@H](c1ccccc1)c1ccc(C(N)=S)cc1,P62166,Q9NPQ8,0.0827182443751015,-7.72966,494_ric8_virtual_library,0.768115555787524,3.1364378564239352,0.0,1,Freed2,-8.1,-7.4,-8.99573
C=Cc1ccc(-c2ccnc3c(C(=O)[C@H](N)[C@@H](C)NC(N)=O)cccc23)cc1,P62166,Q9NPQ8,0.1122457348419661,-7.70267,282_ric8_virtual_library,0.7737875328584986,3.391638749422433,0.0,1,Freed2,-8.2,-8.5,-7.04373
Cc1ccc(NC(=O)N(C)C)c(C(=O)NCc2ccc([C@@H](C)NC(=O)C[C@@H]3CCC(=O)NC3=O)cc2)c1,P62166,Q9NPQ8,0.4611185310070153,-7.69068,20_ric8_virtual_library,0.5380450604920795,3.266655785996244,0.0,1,Synthemol,-9.1,-9.0,-7.24733
CC[C@@H](N)C(=O)/C=C\c1ccc(-c2ccc3c(c2)CC[NH2+]C3)c(C(=O)C(N)=O)c1,P62166,Q9NPQ8,0.0151853173097897,-7.68112,338_ric8_virtual_library,0.6754699388433063,3.980162864235457,0.0,1,Freed2,-7.9,-7.9,-7.66439
C[C@@H]([C@@H]([NH3+])C=O)[C@@H](NC=O)c1ccc(-c2ccccc2C(N)=S)cc1,P62166,Q9NPQ8,0.0608497445278606,-7.66707,398_ric8_virtual_library,0.5739701721068342,3.974250020155827,0.0,1,Freed2,-6.5,-6.6,-8.29614
CC[C@@H]([NH3+])C(=O)/C=C\c1ccc(C(C)=O)c(-c2ccc3c(c2)OCCO3)c1,P62166,Q9NPQ8,0.0677436500925585,-7.66254,388_ric8_virtual_library,0.7993738731582614,3.352226806036734,0.0,1,Freed2,-8.0,-7.0,-6.88583
C[C@H](NC(=O)c1ccccc1C(F)(F)F)C(=O)Nc1ccc(CCC(N)=O)cc1,P62166,Q9NPQ8,0.0822815421641247,-7.63958,333_ric8_virtual_library,0.631545728654712,2.47722583080475,0.0,1,Taiga,-8.2,-8.2,-5.84347
CNC(=O)c1cc(C(=O)C(N)=O)ccc1-c1ccc([C@H](C)[C@@H]([NH3+])C=O)s1,P62166,Q9NPQ8,0.222817164516199,-7.63956,50_ric8_virtual_library,0.6565209630245262,3.999886611383193,0.0,1,Freed2,-6.7,-7.0,-7.57429
O=C1CC[C@@H](N2C(=O)CC(c3ccccc3)(c3ccccc3)C2=O)C(=O)N1,P62166,Q9NPQ8,0.346903785967884,-7.62638,21_ric8_virtual_library,0.715924957334532,3.0449095522379004,0.0,1,Hgraph,-9.0,-8.9,-7.22026
CC[C@H]([NH3+])C(=O)c1ccc(C(=O)C[C@@H]2CCS(=O)(=O)C2)c(-c2ccc3c(c2)OCCO3)c1,P62166,Q9NPQ8,0.2739625934377989,-7.59242,274_ric8_virtual_library,0.7668419739283726,3.777503479700085,0.0,1,Freed2,-7.7,-8.0,-6.63686
O=C1CC[C@@H](Nc2nc3ccccc3n3cncc23)C(=O)N1,P62166,Q9NPQ8,0.2149000234991984,-7.57382,117_ric8_virtual_library,0.6601392745338085,3.072568255029193,0.0,1,Hgraph,-8.1,-7.4,-4.72089
C=Cc1ccc(-c2ccnc3c(C(=O)[C@@H](N)[C@@H](C)NC(N)=O)cccc23)cc1,P62166,Q9NPQ8,0.0813256669248654,-7.56142,282_ric8_virtual_library,0.7737875328584986,3.391638749422433,0.0,1,Freed2,-8.6,-7.9,-7.89551
CC[C@@H](N)C(=O)Sc1ccc(-c2ccc([C@@H](C)[C@H](N)C=O)cc2)cc1,P62166,Q9NPQ8,0.1104437236830758,-7.55575,232_ric8_virtual_library,0.8288666010614533,3.631792495072217,0.0,1,Freed2,-6.9,-7.5,-7.23858
Cc1ccc(-c2csc3ncn(CCC(=O)Nc4ccc([C@@]5(C)NC(=O)NC5=O)cc4)c(=O)c23)cc1,P62166,Q9NPQ8,0.3602171402054983,-7.55417,19_ric8_virtual_library,0.6076144431155777,3.05598687721524,0.0,1,Synthemol,-8.5,-9.9,-7.23947
CC[C@H]([NH3+])C(=O)NC(=O)C(=O)c1ccccc1-c1coc(-c2nnco2)c1,P62166,Q9NPQ8,0.0792596180896054,-7.50473,303_ric8_virtual_library,0.6520654901333626,3.941546441664261,0.0,1,Freed2,-7.6,-7.1,-6.10278
CC[C@@H]([NH3+])C(=O)C(=O)C[C@H](c1ccccc1)c1ccc(C(N)=S)cc1,P62166,Q9NPQ8,0.0942971877926825,-7.4958,494_ric8_virtual_library,0.6548534928993784,3.533663943380456,0.0,1,Freed2,-8.1,-7.4,-8.03206
NC(=S)CNC(=O)c1cc(-c2ccc3c(c2)OCCO3)ccc1C(=O)C=O,P62166,Q9NPQ8,0.0015613940043849,-7.48363,574_ric8_virtual_library,0.749504215710451,2.56201806710118,0.0,1,Freed2,-7.6,-7.8,-7.93295
C[C@@H](NC(=O)Nc1ccc(F)cc1I)C(=O)NNC(=O)Cc1ccccc1Cl,P62166,Q9NPQ8,0.0896042407917903,-7.48147,319_ric8_virtual_library,0.5028819346238889,2.733597728469136,0.0,1,Taiga,-8.3,-7.8,-6.02172
C=Cc1cc(C(=O)[C@H](N)CC)ccc1-c1cccc2c(N3CCCC3=O)ccnc12,P62166,Q9NPQ8,0.1557388989343545,-7.47883,149_ric8_virtual_library,0.9078806677201028,3.222090044834019,0.0,1,Freed2,-8.1,-8.0,-7.06174
CC[C@H](N)C(=O)C(=O)C[C@@H](c1ccccc1)c1ccc(C(N)=S)cc1,P62166,Q9NPQ8,0.1635821723725054,-7.45685,494_ric8_virtual_library,0.768115555787524,3.1364378564239352,0.0,1,Freed2,-7.7,-7.1,-8.40029
C[NH2+]CC(=O)c1ccc(S(N)(=O)=O)cc1-c1cc2c(cc1C(=O)C=O)OCCO2,P62166,Q9NPQ8,0.3319184773307452,-7.43982,27_ric8_virtual_library,0.589334969279165,3.3025787676750724,0.0,1,Freed2,-6.4,-6.2,-7.34366
C#Cc1ccc(-c2ccc3c(c2)OCCO3)c(-c2ccccc2C(=O)CNC)c1,P62166,Q9NPQ8,0.0759520490090172,-7.43536,357_ric8_virtual_library,0.8237552809921215,2.5217044819607857,0.0,1,Freed2,-7.6,-7.4,-7.18767
CC[C@H](N)C(=O)/C=C\c1ccc(C(C)=O)c(-c2ccc3c(c2)OCCO3)c1,P62166,Q9NPQ8,0.1097844502750352,-7.43139,388_ric8_virtual_library,0.8318369944143552,2.9861017048221594,0.0,1,Freed2,-7.3,-6.8,-6.36474
C[C@@H](C(N)=O)[C@@H](N)C(=O)c1cc(-c2ccccc2)ccc1-c1occc1Br,P62166,Q9NPQ8,0.1455098897926974,-7.42659,51_ric8_virtual_library,0.910719751805469,3.360109852988323,0.0,1,Freed2,-7.9,-7.7,-7.85761
COc1cc(C(C)=O)ccc1Cc1ccc(NC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)[C@@H](C)NC(=O)OC(C)(C)C)cc1,P62166,Q9NPQ8,0.0645675041492566,-7.41705,525_ric8_virtual_library,0.5498440868167729,3.1374856620915583,0.0,1,Hgraph,-9.6,-8.7,-8.63834
C[C@@H](NC(=O)c1ccccc1-c1cc2cc(F)ccc2oc1=O)C(N)=O,P62166,Q9NPQ8,0.0582945035541342,-7.41467,290_ric8_virtual_library,0.8201835526931782,2.639919098844558,0.0,1,Hgraph,-7.9,-7.9,-6.85732
C[C@@H](NC(=O)CC(=O)[O-])C(=O)N[C@H](C)c1ccc(-n2cnc3ccc(Cl)cc3c2=O)cc1,P62166,Q9NPQ8,0.3463538792581707,-7.40667,111_ric8_virtual_library,0.703789356426476,3.367359353825961,0.0,1,Hgraph,-8.9,-8.2,-7.20337
CC[C@@H]([NH3+])C(=O)NC(=O)C(=O)c1ccccc1-c1coc(-c2nnco2)c1,P62166,Q9NPQ8,0.1064367106752872,-7.39011,303_ric8_virtual_library,0.6520654901333626,3.941546441664261,0.0,1,Freed2,-7.8,-7.0,-6.15213
CC[C@@H]([NH3+])C(=O)c1ccc(C(=O)C[NH2+]C)c(-c2ccc(S(=O)(=O)NC)cc2)c1,P62166,Q9NPQ8,0.1298486727362279,-7.38415,118_ric8_virtual_library,0.5641824143724296,3.8455326803593497,0.0,1,Freed2,-6.6,-6.9,-5.66263
C[NH2+]CC(=O)c1cc(S(N)(=O)=O)ccc1/C=C/c1ccnc2ccccc12,P62166,Q9NPQ8,0.0387308239237164,-7.36241,121_ric8_virtual_library,0.8490801832400231,3.067663208801584,0.0,1,Freed2,-7.2,-7.7,-7.74266
Cc1c(Br)cccc1NC(=O)C[N@H+](C)[C@@H](C)C(=O)Nc1ccc(S(N)(=O)=O)cc1,P62166,Q9NPQ8,0.0881785077619687,-7.35411,273_ric8_virtual_library,0.5407052820556384,3.671555297878628,0.0,1,Taiga,-7.2,-7.9,-4.83795
CC[C@H](N)C(=O)C(=O)C[C@H](c1ccccc1)c1ccc(C(N)=S)cc1,P62166,Q9NPQ8,0.0563556169847141,-7.35268,494_ric8_virtual_library,0.768115555787524,3.1364378564239352,0.0,1,Freed2,-8.1,-7.4,-8.7572
C[C@H]([NH3+])C(=O)NCCc1ccc(-c2cc(=O)n(C)nc2C(N)=O)cc1,P62166,Q9NPQ8,0.0590569524653449,-7.35231,302_ric8_virtual_library,0.6192277280092234,3.233265619313196,0.0,1,Hgraph,-7.0,-7.2,-7.97112
C=NC(=O)[C@H](N)[C@H](C)c1cc(-c2ccc3c(c2)OCCO3)ccc1NC(N)=O,P62166,Q9NPQ8,0.1660133034320082,-7.34496,174_ric8_virtual_library,0.6909639005206787,3.5798683352212484,0.0,1,Freed2,-7.2,-7.2,-6.76753
CC[C@H]([NH3+])C(=O)C(=O)C[C@H](c1ccccc1)c1ccc(C(N)=S)cc1,P62166,Q9NPQ8,0.0631251328882363,-7.33703,494_ric8_virtual_library,0.6548534928993784,3.533663943380456,0.0,1,Freed2,-8.1,-7.4,-7.80838
O=C1CC[C@@H](n2nc(-c3ccc(Br)cc3F)c3ccccc3c2=O)C(=O)N1,P62166,Q9NPQ8,0.1055207284640927,-7.32215,265_ric8_virtual_library,0.8081480089915396,2.966607777696652,0.0,1,Hgraph,-9.6,-8.5,-5.77971
C[C@H](c1ccc(-c2ccccc2NC(N)=O)cc1)[C@H](N)C(=O)C(N)=S,P62166,Q9NPQ8,0.024662747890769,-7.31346,349_ric8_virtual_library,0.5165017965023903,3.171153516467216,0.0,1,Freed2,-7.0,-6.9,-8.31902
C[C@@H](c1cc2c(cc1-c1ccc(C(N)=S)cc1C(N)=O)OCCO2)[C@H]([NH3+])C=O,P62166,Q9NPQ8,0.2851161296684711,-7.30591,231_ric8_virtual_library,0.6804755125164915,3.930909301946831,0.0,1,Freed2,-6.3,-6.1,-4.98243
CC[C@H](N)C(=O)c1ccc(S(=O)(=O)NC)cc1-c1ccc([C@@H]([NH3+])c2c[nH]c3ccccc23)cc1,P62166,Q9NPQ8,0.2893540501275259,-7.30387,116_ric8_virtual_library,0.5128482344168938,3.6612174855976094,0.0,1,Freed2,-7.8,-8.3,-5.2128
C=Cc1cc(-c2ccc(Br)c(NC(N)=O)c2)ccc1C(=O)[C@@H](N)CC,P62166,Q9NPQ8,0.2371471427321786,-7.30169,154_ric8_virtual_library,0.6379124732463406,3.1089047595846893,0.0,1,Freed2,-7.5,-7.9,-8.0919
C[C@@H](c1ccc(Br)c(-c2cc(-c3ccc4c(c3)OCO4)ccc2S(N)(=O)=O)c1)[C@H](N)C=O,P62166,Q9NPQ8,0.0760974581811205,-7.2751,243_ric8_virtual_library,0.8520742345530306,3.5405223733906634,0.0,1,Freed2,-7.9,-7.8,-7.04327
NC(=O)c1ccc(C(=O)C[C@H]2CCC(=O)N2)c(-c2ccc3c(c2)OCCO3)c1,P62166,Q9NPQ8,0.2014991443632662,-7.27148,342_ric8_virtual_library,0.799963991489806,2.9956185001974074,0.0,1,Freed2,-7.7,-7.6,-6.37366
C[C@@H](c1cc2c(cc1-c1cc(S(N)(=O)=O)ccc1N1CCCC1=O)OCCO2)[C@H]([NH3+])C=O,P62166,Q9NPQ8,0.266001866071792,-7.26506,96_ric8_virtual_library,0.7015439596751063,3.9306105324226426,0.0,1,Freed2,-6.9,-6.5,-5.37847
CNC(=O)c1cc(C(=O)C(N)=O)ccc1-c1ccc([C@@H](C)[C@@H]([NH3+])C=O)s1,P62166,Q9NPQ8,0.2363725888643806,-7.26243,50_ric8_virtual_library,0.6565209630245262,3.999886611383193,0.0,1,Freed2,-7.0,-6.8,-7.73355
C[C@@H](c1ccc(-c2ccccc2NC(N)=O)cc1)[C@H](N)C(=O)C(N)=S,P62166,Q9NPQ8,0.0015048302515246,-7.2612,349_ric8_virtual_library,0.5165017965023903,3.171153516467216,0.0,1,Freed2,-7.1,-6.9,-7.28668
C[C@@H]([C@@H](N)C(=O)c1ccc(-c2ccc3cc[nH]c3c2)cc1S(C)(=O)=O)S(N)(=O)=O,P62166,Q9NPQ8,0.0514348139883406,-7.23856,296_ric8_virtual_library,0.6820591225008648,3.584447013854959,0.0,1,Freed2,-7.1,-7.3,-7.28158
C[C@H](c1ccc2c(-c3ccccc3C=O)c[nH]c2c1)[C@H](N)C(=O)NC(N)=O,P62166,Q9NPQ8,0.116750010882582,-7.23629,207_ric8_virtual_library,0.5581945871952663,3.390892622219093,0.0,1,Freed2,-7.7,-8.1,-6.94982
C[C@H](c1ccc(-c2ccc(Br)c([S@](C)=O)c2)c(-c2ccccc2N)c1)[C@@H](N)C=O,P62166,Q9NPQ8,0.3347065804872277,-7.23553,208_ric8_virtual_library,0.9444235967352056,3.8447197172060976,0.0,1,Freed2,-7.3,-7.5,-7.51388
C[C@@H](NC(=O)c1ccc(-c2cc(=O)[nH]c3ccccc23)cc1)C(N)=O,P62166,Q9NPQ8,0.0654722468426119,-7.23343,228_ric8_virtual_library,0.6207449425387253,2.4584666147883087,0.0,1,Hgraph,-7.9,-8.1,-6.48971
O=C1CC[C@@H](CC(=O)Nc2ccc(N3C(=O)c4cccc5c([N+](=O)[O-])ccc(c45)C3=O)cc2)C(=O)N1,P62166,Q9NPQ8,0.0249249278180231,-7.22802,475_ric8_virtual_library,0.6815571378368798,3.056015397442829,0.0,1,Synthemol,-9.7,-9.8,-4.7705
C[C@H]([C@@H]([NH3+])C=O)[C@@H](NC=O)c1ccc(-c2ccccc2C(N)=S)cc1,P62166,Q9NPQ8,0.0249212220042205,-7.22667,398_ric8_virtual_library,0.5739701721068342,3.974250020155827,0.0,1,Freed2,-6.6,-6.7,-7.45864
COc1ccc([C@H](NC(=O)CCNS(C)(=O)=O)c2c(C)ccc3c(C)cc(=O)oc23)cc1,P62166,Q9NPQ8,0.0791351560362895,-7.2266,507_ric8_virtual_library,0.827300034346212,2.9807711070215905,0.0,1,Hgraph,-7.9,-7.8,-7.1986
C[C@@H](c1ccc2c(-c3ccccc3C=O)c[nH]c2c1)[C@@H](N)C(=O)NC(N)=O,P62166,Q9NPQ8,0.1490425438032688,-7.22253,207_ric8_virtual_library,0.5581945871952663,3.390892622219093,0.0,1,Freed2,-8.0,-8.4,-5.89688
CC[C@@H](N)C(=O)C(=O)C[C@@H](c1ccccc1)c1ccc(C(N)=S)cc1,P62166,Q9NPQ8,0.2236569747288981,-7.21809,494_ric8_virtual_library,0.768115555787524,3.1364378564239352,0.0,1,Freed2,-7.8,-7.3,-8.77507
CCCN(C(=O)c1ccc(C[C@@H]2CC(=O)NC2=O)cc1)[C@H]1CC(=O)NC1=O,P62166,Q9NPQ8,0.2399777698407079,-7.21217,38_ric8_virtual_library,0.5390037942839793,3.3754809299114,0.0,1,Synthemol,-7.3,-7.4,-6.65784
C[C@@H](NC(=O)c1cccc([C@@]2(C)NC(=O)NC2=O)c1)c1ccc(-c2cccc(C#N)c2)cc1,P62166,Q9NPQ8,0.1077344109925564,-7.21164,163_ric8_virtual_library,0.8018785134606996,3.11058858915388,0.0,1,Synthemol,-9.9,-9.5,-8.17552
C[C@@H](c1ccc(-c2ccc(-c3ccccc3N)s2)cc1S(C)(=O)=O)[C@H]([NH3+])C=O,P62166,Q9NPQ8,0.1063104481177186,-7.21116,405_ric8_virtual_library,0.9235126809045316,3.78590051073804,0.0,1,Freed2,-7.0,-7.3,-5.50452
C=Cc1csc(-c2ccc(S(N)(=O)=O)cc2C(=O)C[NH2+]C)n1,P62166,Q9NPQ8,0.0916166417011835,-7.18957,107_ric8_virtual_library,0.7540328948531642,3.501621049494449,0.0,1,Freed2,-6.2,-5.8,-5.85253
C[C@@H]([C@H]([NH3+])C=O)[C@@H](NC=O)c1ccc(-c2ccccc2C(N)=S)cc1,P62166,Q9NPQ8,0.0396295233260268,-7.18459,398_ric8_virtual_library,0.5739701721068342,3.974250020155827,0.0,1,Freed2,-6.4,-6.8,-6.53345
C[C@@H](c1ccc(-c2ccc(C(=O)C(N)=O)c(S(C)(=O)=O)c2)c(Cl)c1)[C@@H]([NH3+])C=O,P62166,Q9NPQ8,0.1604091087557946,-7.17834,125_ric8_virtual_library,0.750347561178953,3.857817015854544,0.0,1,Freed2,-7.0,-7.5,-7.52006
C[C@H](c1ccc2c(-c3ccccc3C=O)c[nH]c2c1)[C@@H]([NH3+])C(=O)NC(N)=O,P62166,Q9NPQ8,0.0561140485047755,-7.17324,207_ric8_virtual_library,0.473437820504816,3.7327818529883214,0.0,1,Freed2,-7.6,-8.5,-7.08418
CC[C@H]([NH3+])C(=O)c1ccccc1-c1cc(C(=O)CN)ccc1C(=O)C(N)=O,P62166,Q9NPQ8,0.4492509603237472,-7.16838,35_ric8_virtual_library,0.6074599264783643,3.4376871992484226,0.0,1,Freed2,-6.9,-6.3,-6.80691
C[C@H](c1ccc(-c2cccc(O)c2)c(-c2occc2Br)c1)[C@@H](N)C(=O)NC(N)=O,P62166,Q9NPQ8,0.0008233817417271,-7.16587,536_ric8_virtual_library,0.6181302939665498,3.526019351133065,0.0,1,Freed2,-8.2,-8.6,-7.34525
CNS(=O)(=O)c1cccc([C@@H](C)Nc2cccc3c2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)c1,P62166,Q9NPQ8,0.6627323014764133,-7.16198,1_ric8_virtual_library,0.5733856308079059,3.375822292423317,0.0,1,Synthemol,-8.2,-8.8,-6.99706
C[C@H](NC(=O)c1ccc(-c2cccc3c2cnn3C)c(Cl)c1)C(N)=O,P62166,Q9NPQ8,0.1398926670463917,-7.15099,126_ric8_virtual_library,0.8424652238584234,2.6835161800057,0.0,1,Hgraph,-7.7,-8.0,-7.56216
Cc1c(Cl)cccc1NC(=O)CN(C)C(=O)[C@H](C)n1cnc2cc(S(N)(=O)=O)ccc21,P62166,Q9NPQ8,0.1438772055282635,-7.14298,196_ric8_virtual_library,0.829370405537439,2.93913314814813,0.0,1,Taiga,-8.3,-7.7,-5.31558
CNCC(=O)c1cc(-c2ccc3c(c2)OCO3)ccc1C(=O)C(=O)N[C@H]1CCC(=O)N1,P62166,Q9NPQ8,0.2437187487176678,-7.14149,114_ric8_virtual_library,0.5897509665485094,3.363047683612666,0.0,1,Freed2,-7.9,-8.1,-8.03718
C[C@@H](C(N)=O)[C@H](N)C(=O)c1ccc(C(=O)C(N)=O)cc1-c1ccc(Br)s1,P62166,Q9NPQ8,0.0908995725731464,-7.13585,132_ric8_virtual_library,0.6328843121848807,3.603874972587207,0.0,1,Freed2,-6.7,-6.5,-6.41565
C[C@@H](NC(=O)CCC[C@@]1(C)NC(=O)NC1=O)c1ccc(-c2ccc(N(C)C)cc2)cc1,P62166,Q9NPQ8,0.3222573858349121,-7.11077,26_ric8_virtual_library,0.7311280002833627,3.146547086702609,0.0,1,Synthemol,-8.5,-8.2,-7.62038
C[C@@H](c1cccc2c(-c3cc(C(=O)CN)ccc3C(=O)C(N)=O)ccnc12)[C@@H]([NH3+])C=O,P62166,Q9NPQ8,0.3362446860005261,-7.10035,18_ric8_virtual_library,0.6266148002907581,3.961624173938219,0.0,1,Freed2,-7.0,-6.9,-5.28512
C[C@H]([NH3+])C(=O)Nc1ccccc1-c1nc(CCS(C)(=O)=O)no1,P62166,Q9NPQ8,0.0690667077254809,-7.09746,181_ric8_virtual_library,0.6585076715710243,3.294403283453633,0.0,1,Hgraph,-7.0,-6.4,-4.89977
[NH3+][C@@H]1CCc2cc(Br)ccc2N(C(=O)Nc2ccc(C[C@@H]3CC(=O)NC3=O)cc2)C1=O,P62166,Q9NPQ8,0.2354890631646572,-7.0902,213_ric8_virtual_library,0.6508262313981256,3.761598385203627,0.0,1,Synthemol,-9.0,-9.2,-7.14891
CC[C@H](N)C(=O)C(=O)[C@@H](N)[C@@H](C)c1ccc(-c2ccccc2S(C)(=O)=O)cc1,P62166,Q9NPQ8,0.0535920858904147,-7.09004,187_ric8_virtual_library,0.7180382336740867,3.4083226095783044,0.0,1,Freed2,-7.2,-7.1,-6.82833
C[C@H](NC(=O)c1ccc(-c2cc(=O)[nH]c3ccccc23)cc1)C(N)=O,P62166,Q9NPQ8,0.0632344429277117,-7.08921,228_ric8_virtual_library,0.6207449425387253,2.4584666147883087,0.0,1,Hgraph,-7.9,-8.8,-7.07816
C[C@@H]([NH3+])C(=O)NCCc1ccc(-c2cc(=O)n(C)nc2C(N)=O)cc1,P62166,Q9NPQ8,0.0856270919042548,-7.07492,302_ric8_virtual_library,0.6192277280092234,3.233265619313196,0.0,1,Hgraph,-7.6,-7.1,-8.10788
CS(=O)(=O)c1ccc(CC(=O)NNC(=O)CCOc2ccc(S(N)(=O)=O)cc2)cc1,P62166,Q9NPQ8,0.0938506537409641,-7.07315,309_ric8_virtual_library,0.5045351074298402,2.1477160590046047,0.0,1,Synthemol,-7.3,-7.5,-6.64447
CNCC(=O)/C=C\c1ccc(-c2ccc([SH](=O)=O)cc2)c(C(=O)CN)c1,P62166,Q9NPQ8,0.1636772885277465,-7.06696,103_ric8_virtual_library,0.6472057829209571,3.2277314125405843,0.0,1,Freed2,-6.6,-7.3,-7.68649
CC[C@@H]([NH3+])C(=O)c1ccc(NC(N)=O)c(-c2ccnc3c([C@H]4CCC(=O)N4)cccc23)c1,P62166,Q9NPQ8,0.3798826508981309,-7.06498,15_ric8_virtual_library,0.5745697246366331,3.904745018161624,0.0,1,Freed2,-8.0,-8.0,-5.4734
CC[C@@H](N)C(=O)C(=O)[C@H](N)[C@H](C)c1ccc(-c2ccccc2S(C)(=O)=O)cc1,P62166,Q9NPQ8,0.088729189913544,-7.05724,187_ric8_virtual_library,0.7180382336740867,3.4083226095783044,0.0,1,Freed2,-7.6,-7.5,-7.00423
